"","x"
"1249","27558.0"
"1250","27653.0"
"1251","27655.0"
"1252","27660.0"
"1253","27697.0"
"1254","27718.0"
"1255","27751.0"
"1256","27822.0"
"1257","27838.0"
"1258","27853.0"
"1259","27859.0"
"1260","27864.0"
"1261","27880.0"
"1262","27958.0"
"1263","28050.0"
"1264","28058.0"
"1265","28128.0"
"1266","28387.0"
"1267","28402.0"
"1268","28407.0"
"1269","28451.0"
"1270","28456.0"
"1271","28460.0"
"1272","28465.0"
"1273","28484.0"
"1274","28498.0"
"1275","28550.0"
"1276","28595.0"
"1277","28596.0"
"1278","28597.0"
"1279","28604.0"
"1280","28643.0"
"1281","28652.0"
"1282","28656.0"
"1283","28668.0"
"1284","28685.0"
"1285","28688.0"
"1286","28712.0"
"1287","28721.0"
"1288","28740.0"
"1289","28763.0"
"1290","28773.0"
"1291","28781.0"
"1292","28783.0"
"1293","28860.0"
"1294","29165.0"
"1295","29224.0"
"1296","29492.0"
"1297","29912.0"
"1298","30611.0"
"1299","30759.0"
"1300","31487.0"
"1301","31606.0"
"1302","31670.0"
"1303","32424.0"
"1304","32551.0"
"1305","33186.0"
"1306","33331.0"
"1307","33932.0"
"1308","33983.0"
"1309","34013.0"
"1310","34636.0"
"1311","34755.0"
"1312","34863.0"
"1313","35151.0"
"1314","35375.0"
"1315","35714.0"
"1316","35735.0"
"1317","35739.0"
"1318","35743.0"
"1319","35772.0"
"1320","35775.0"
"1321","35785.0"
"1322","36174.0"
"1323","36357.0"
"1324","36388.0"
"1325","36397.0"
"1326","36423.0"
"1327","36431.0"
"1328","36437.0"
"1329","36494.0"
"1330","36515.0"
"1331","36538.0"
"1332","36702.0"
"1333","36724.0"
"1334","36731.0"
"1335","36785.0"
"1336","36861.0"
"1337","36927.0"
"1338","36945.0"
"1339","36949.0"
"1340","36956.0"
"1341","36988.0"
"1342","36995.0"
"1343","36997.0"
"1344","37061.0"
"1345","37156.0"
"1346","37239.0"
"1347","37262.0"
"1348","37282.0"
"1349","37314.0"
"1350","37408.0"
"1351","37418.0"
"1352","37573.0"
"1353","37586.0"
"1354","37621.0"
"1355","37998.0"
"1356","38118.0"
"1357","38199.0"
"1358","38211.0"
"1359","38382.0"
"1360","38388.0"
"1361","38423.0"
"1362","38557.0"
"1363","38590.0"
"1364","38609.0"
"1365","38630.0"
"1366","38726.0"
"1367","38798.0"
"1368","38835.0"
"1369","38891.0"
"1370","38904.0"
"1371","38941.0"
"1372","38956.0"
"1373","38964.0"
"1374","38992.0"
"1375","39091.0"
"1376","39111.0"
"1377","39126.0"
"1378","39173.0"
"1379","39177.0"
"1380","39189.0"
"1381","39220.0"
"1382","39241.0"
"1383","39312.0"
"1384","39352.0"
"1385","39455.0"
"1386","39457.0"
"1387","39571.0"
"1388","39591.0"
"1389","39645.0"
"1390","39680.0"
"1391","39712.0"
"1392","39716.0"
"1393","39717.0"
"1394","39745.0"
"1395","39750.0"
"1396","39795.0"
"1397","39851.0"
"1398","39871.0"
"1399","39917.0"
"1400","39944.0"
"1401","39967.0"
"1402","39969.0"
"1403","40036.0"
"1404","40037.0"
"1405","40108.0"
"1406","40137.0"
"1407","40259.0"
"1408","40305.0"
"1409","40334.0"
"1410","40335.0"
"1411","40339.0"
"1412","40340.0"
"1413","40342.0"
"1414","40355.0"
"1415","40357.0"
"1416","40366.0"
"1417","40371.0"
"1418","40418.0"
"1419","40452.0"
"1420","40527.0"
"1421","40579.0"
"1422","40670.0"
"1423","40687.0"
"1424","40688.0"
"1425","40702.0"
"1426","40717.0"
"1427","40757.0"
"1428","40761.0"
"1429","40936.0"
"1430","40948.0"
"1431","40998.0"
"1432","41099.0"
"1433","41122.0"
"1434","41125.0"
"1435","41160.0"
"1436","41224.0"
"1437","41271.0"
"1438","41282.0"
"1439","41290.0"
"1440","41569.0"
"1441","41653.0"
"1442","41661.0"
"1443","41680.0"
"1444","41693.0"
"1445","41891.0"
"1446","41901.0"
"1447","41912.0"
"1448","41997.0"
"1449","42003.0"
"1450","42042.0"
"1451","42091.0"
"1452","42123.0"
"1453","42213.0"
"1454","42229.0"
"1455","42241.0"
"1456","42260.0"
"1457","42267.0"
"1458","42283.0"
"1459","42295.0"
"1460","42303.0"
"1461","42411.0"
"1462","42487.0"
"1463","42488.0"
"1464","42490.0"
"1465","42629.0"
"1466","42682.0"
"1467","42703.0"
"1468","42723.0"
"1469","42725.0"
"1470","42733.0"
"1471","42747.0"
"1472","42781.0"
"1473","42792.0"
"1474","42796.0"
"1475","42805.0"
"1476","42909.0"
"1477","42924.0"
"1478","42968.0"
"1479","43033.0"
"1480","43074.0"
"1481","43076.0"
"1482","43301.0"
"1483","43557.0"
"1484","43632.0"
"1485","43680.0"
"1486","43694.0"
"1487","43699.0"
"1488","43814.0"
"1489","43848.0"
"1490","43948.0"
"1491","44036.0"
"1492","44330.0"
"1493","44405.0"
"1494","44417.0"
"1495","44523.0"
"1496","44596.0"
"1497","44602.0"
"1498","44627.0"
"1499","44677.0"
"1500","44688.0"
"1501","44724.0"
"1502","44851.0"
