,index,foundation,voterank,eigenvector,degree,pagerank,closeness,newman,subgraph,average
12638,88857.0,2000.0,4197.0,0.0015223454042546,0.004339524388127,7.427491708202795e-05,0.3242138242839076,0.0,7.796877153595027e+98,145.8
12639,14201.0,2001.0,4119.0,0.0055847007916001,0.0111091824336052,0.0001292636622678,0.3483082063265779,3.158107788475369e-05,1.04900812284817e+100,216.6875
12641,40688.0,2007.0,3981.0,0.0001685306464171,0.0013886478042006,5.9929526566605824e-05,0.2779155645505108,0.0,9.555436856332098e+96,55.125
12645,39173.0,2000.0,,,,,,,,
12649,79012.0,2007.0,3218.0,0.000146651068703,0.0005207429265752,4.3605057235456216e-05,0.2703795837043834,0.0,7.243281275428312e+96,102.0
12658,10219.0,2007.0,957.0,0.0213591642378541,0.038014233639993,0.0003570659894867,0.3828033980666297,0.0004058549948999,1.53455517904805e+101,233.89497716894977
12662,38904.0,2005.0,,0.0038924625325993,0.0041659434126019,5.565918228638919e-05,0.3070128332384231,1.5212400009358234e-08,5.102217288336612e+99,280.875
12664,14978.0,2006.0,4293.0,0.0050312261573196,0.0111091824336052,0.0001268619332782,0.3470764965413431,0.0,8.516870088854713e+99,198.921875
12665,27175.0,2006.0,4242.0,1.4463017035411848e-07,0.0003756103668461,8.631824678403401e-05,0.2060882919706929,0.000231938382466,1.5083778132144674e+111,4.666666666666667
12672,25953.0,2002.0,3772.0,0.0002700075700984,0.0010414858531504,5.4001252705789535e-05,0.2873607688799156,1.8484288320168915e-05,2.4525460323919296e+97,109.66666666666669
12675,10942.0,2007.0,4890.0,0.0041501830368604,0.0109356014580801,0.0001296718877949,0.3424462771512109,2.078393115048816e-05,5.793700021584436e+99,183.31746031746036
12677,42725.0,2004.0,566.0,0.0173843764554433,0.0343690331539663,0.0003299618259835,0.3731855090672668,0.0002864607698859,1.0164701438075188e+101,215.9848484848485
12679,16581.0,2006.0,1486.0,0.0069248305585802,0.0152751258462072,0.0001804870459164,0.3592834649095069,0.0001896967979504,1.6126154775720613e+100,198.3636363636364
12680,20300.0,2005.0,1241.0,0.0028227864376353,0.0095469536538795,0.0001980969879239,0.3422121578669071,0.0020717560754331,2.6797079039856623e+99,140.43636363636364
12681,493563.0,2006.0,4508.0,3.25263563333454e-32,0.0001390240511608,0.0001390047261606,0.0001390240511608,0.0,1.5430806348152435,1.0
12696,2493.0,2004.0,1214.0,0.0059946321075927,0.0135393160909564,0.0001572823299202,0.3426572585651184,0.000192568930852,1.2092642645563054e+100,179.4102564102564
12698,580146.0,2007.0,9871.0,0.0014007325178465,0.0042738246982079,4.574476533437399e-05,0.2968870171017131,0.0,6.1506324595445e+139,231.3684210526316
12700,4006.0,2007.0,4057.0,0.0047568260983036,0.0107620204825551,0.0001221290495168,0.3487936194773361,2.410956475221989e-05,7.611866965572037e+99,192.96774193548387
12704,52662.0,2003.0,3922.0,5.45347792651746e-05,0.0010414858531504,6.546269437597504e-05,0.267375526580805,0.0,9.992585338649502e+95,42.16666666666666
12708,47210.0,2006.0,2874.0,0.0001129649693015,0.0154487068217323,0.0001852201008724,0.2741408200404869,0.0,4.29385605621189e+96,92.25842696629212
12718,47248.0,2005.0,4195.0,0.0001129649693015,0.0154487068217323,0.0001852201008724,0.2741408200404869,0.0,4.293856056211891e+96,92.25842696629212
12721,15961.0,2007.0,2306.0,0.0129858799132188,0.0267314702308626,0.0002521523639905,0.3681354146590608,8.528158121173431e-05,5.671901674511442e+100,217.474025974026
12725,79059.0,2006.0,3721.0,0.0001487126205394,0.0008679048776254,4.9137782977967774e-05,0.2829425828454723,7.103605501554675e-05,7.430341118292767e+96,88.2
12726,32424.0,2002.0,4265.0,1.3042900667153734e-35,0.000173580975525,0.0001735508503991,0.000173580975525,0.0,1.543080634815242,1.0
12738,8851.0,2004.0,2025.0,0.0006057390499109,0.0038187814615518,0.0001045298086503,0.3128460770699531,0.0001845465863727,1.2337203261884578e+98,88.31818181818181
12741,8744.0,2002.0,4126.0,0.0009241309161533,0.0027772956084013,5.756301533916632e-05,0.3041400676339318,0.0,2.872066663351728e+98,139.5625
12742,13334.0,2007.0,1278.0,0.0097784656440082,0.0208297170630098,0.000226388728327,0.3634575394364834,0.0004018735272556,3.216041528547032e+100,208.99166666666667
12744,28773.0,2007.0,4544.0,0.0006829187835621,0.0019093907307759,4.543574493111477e-05,0.3071824015415311,2.651164009509422e-06,1.5686362077457314e+98,165.36363636363637
12748,18501.0,2004.0,5315.0,7.277870563323248e-05,0.0005207429265752,4.03189563289864e-05,0.2731981897783675,7.0248010577809584e-06,1.7813167438720528e+96,77.0
12753,17858.0,2006.0,2067.0,0.0070644955007667,0.0116299253601805,0.0001289538458106,0.3589227902709917,0.0,1.6786016368775549e+100,255.53731343283584
12759,2487.0,2006.0,2341.0,0.0003132136556927,0.0004170721534825,2.4496537846243305e-05,0.28722422780634,0.0,7.559664832743557e+110,281.0
12760,18143.0,2006.0,5834.0,0.000718514078353,0.0034347399411187,5.073827461132429e-05,0.2941954222062148,0.0,1.6203888635933435e+128,145.28571428571428
12766,543492.0,2001.0,,1.402807665442471e-05,0.0003471619510501,4.831479161297347e-05,0.2516230449464259,0.0,6.614321932675475e+94,35.0
12770,38118.0,2006.0,3642.0,2.551443686131622e-05,0.0003471619510501,4.972294900581949e-05,0.2492176864883868,0.0,2.1907771831094707e+95,26.0
12775,53006.0,2001.0,,0.0026958933869916,0.0052709603030802,4.660536137941962e-05,0.3000620835429299,0.0,1.7395902364134248e+155,255.1875
12786,516786.0,2005.0,,0.000128575645964,0.0036452004860267,0.0001266787926909,0.278689228501712,0.0,5.561021637688711e+96,40.285714285714285
